[15:13:52][jominiapplication.cpp:539]: Processing Tick: 1870.1.27.18
[15:13:52][jominiapplication.cpp:539]: Processing Tick: 1870.1.28
[15:13:53][jominiapplication.cpp:539]: Processing Tick: 1870.1.28.6
[15:13:53][jominiapplication.cpp:539]: Processing Tick: 1870.1.28.12
[15:13:53][jominiapplication.cpp:539]: Processing Tick: 1870.1.28.18
[15:13:54][jominiapplication.cpp:539]: Processing Tick: 1870.1.29
[15:13:54][jominiapplication.cpp:539]: Processing Tick: 1870.1.29.6
[15:13:54][jominiapplication.cpp:539]: Processing Tick: 1870.1.29.12
[15:13:55][jominiapplication.cpp:539]: Processing Tick: 1870.1.29.18
[15:13:55][jominiapplication.cpp:539]: Processing Tick: 1870.1.30
[15:13:55][jominiapplication.cpp:539]: Processing Tick: 1870.1.30.6
[15:13:55][jominiapplication.cpp:539]: Processing Tick: 1870.1.30.12
[15:13:56][jominiapplication.cpp:539]: Processing Tick: 1870.1.30.18
[15:13:56][jominiapplication.cpp:539]: Processing Tick: 1870.1.31
[15:13:56][jominiapplication.cpp:539]: Processing Tick: 1870.1.31.6
[15:13:56][jominiapplication.cpp:539]: Processing Tick: 1870.1.31.12
[15:13:57][jominiapplication.cpp:539]: Processing Tick: 1870.1.31.18
[15:13:57][jominiapplication.cpp:539]: Processing Tick: 1870.2.1
[15:13:59][jominiapplication.cpp:539]: Processing Tick: 1870.2.1.6
[15:13:59][jominiapplication.cpp:539]: Processing Tick: 1870.2.1.12
[15:14:00][jominiapplication.cpp:539]: Processing Tick: 1870.2.1.18
[15:14:00][jominiapplication.cpp:539]: Processing Tick: 1870.2.2
[15:14:00][jominiapplication.cpp:539]: Processing Tick: 1870.2.2.6
[15:14:00][jominiapplication.cpp:539]: Processing Tick: 1870.2.2.12
[15:14:01][jominiapplication.cpp:539]: Processing Tick: 1870.2.2.18
[15:14:01][jominiapplication.cpp:539]: Processing Tick: 1870.2.3
[15:14:01][jominiapplication.cpp:539]: Processing Tick: 1870.2.3.6
[15:14:02][jominiapplication.cpp:539]: Processing Tick: 1870.2.3.12
[15:14:02][jominiapplication.cpp:539]: Processing Tick: 1870.2.3.18
[15:14:02][jominiapplication.cpp:539]: Processing Tick: 1870.2.4
[15:14:04][jominiapplication.cpp:539]: Processing Tick: 1870.2.4.6
